TEAM;TOTAL;AVG;MEDIAN;STD;YEAR;ID
Milwaukee Bucks;$ 54,044,202;$ 4,157,246;$ 3,670,929;$ 3,655,289;2001;MIL
Minnesota Timberwolves;$ 45,615,935;$ 3,041,062;$ 3,638,280;$ 1,450,589;2010;MIN
Minnesota Timberwolves;$ 77,455,197;$ 3,367,617;$ 2,630,000;$ 2,849,410;2009;MIN
Minnesota Timberwolves;$ 63,525,735;$ 3,970,358;$ 2,770,740;$ 2,866,891;2008;MIN
Minnesota Timberwolves;$ 51,128,758;$ 3,007,574;$ 2,420,000;$ 2,747,390;2007;MIN
Minnesota Timberwolves;$ 66,734,452;$ 4,766,746;$ 3,525,000;$ 5,172,106;2006;MIN
Minnesota Timberwolves;$ 108,517,312;$ 3,875,618;$ 2,250,000;$ 4,452,865;2005;MIN
Minnesota Timberwolves;$ 70,123,371;$ 5,394,105;$ 4,837,633;$ 5,102,137;2004;MIN
Minnesota Timberwolves;$ 70,123,371;$ 5,394,105;$ 4,837,633;$ 5,102,137;2003;MIN
Minnesota Timberwolves;$ 59,549,520;$ 3,969,968;$ 2,000,000;$ 6,400,538;2002;MIN
Minnesota Timberwolves;$ 54,176,815;$ 3,869,772;$ 2,056,620;$ 5,806,829;2001;MIN
New Orleans Pelicans;$ 63,969,188;$ 4,569,227;$ 3,238,000;$ 4,379,872;2010;NOO
New Orleans Pelicans;$ 74,250,064;$ 4,950,004;$ 3,630,000;$ 4,641,604;2009;NOH
New Orleans Pelicans;$ 67,017,804;$ 4,786,986;$ 4,102,094;$ 3,998,173;2008;NOH
New Orleans Pelicans;$ 60,331,047;$ 3,770,690;$ 1,865,100;$ 3,791,846;2007;NOH
New Orleans Pelicans;$ 53,171,676;$ 3,544,778;$ 2,051,938;$ 3,383,838;2006;NOO
New Orleans Pelicans;$ 87,233,490;$ 2,907,783;$ 2,500,000;$ 2,291,675;2005;NOO
New Orleans Pelicans;$ 32,386,856;$ 2,491,296;$ 1,247,160;$ 2,697,348;2004;NOH
New Orleans Pelicans;$ 32,386,856;$ 2,491,296;$ 1,247,160;$ 2,697,348;2003;NOH
New Orleans Pelicans;$ 45,193,882;$ 3,228,134;$ 2,040,600;$ 2,780,513;2002;NOH
New York Knicks;$ 58,661,738;$ 3,910,782;$ 2,130,482;$ 4,561,893;2010;NYK
New York Knicks;$ 114,338,560;$ 5,716,928;$ 2,975,520;$ 6,502,783;2009;NYK
New York Knicks;$ 97,085,751;$ 6,472,383;$ 6,049,400;$ 5,006,527;2008;NYK
New York Knicks;$ 92,817,398;$ 5,801,087;$ 5,716,100;$ 5,160,654;2007;NYK
New York Knicks;$ 81,672,615;$ 5,444,841;$ 5,215,000;$ 5,193,388;2006;NYK
New York Knicks;$ 185,808,208;$ 6,193,606;$ 6,010,000;$ 5,424,684;2005;NYK
New York Knicks;$ 94,659,993;$ 7,888,332;$ 6,036,000;$ 5,775,965;2004;NYK
New York Knicks;$ 94,659,993;$ 7,888,332;$ 6,036,000;$ 5,775,965;2003;NYK
New York Knicks;$ 76,504,165;$ 5,100,277;$ 4,903,750;$ 4,545,614;2002;NYK
New York Knicks;$ 66,175,175;$ 4,726,798;$ 4,475,687;$ 3,611,786;2001;NYK
Oklahoma City Thunder;$ 57,336,915;$ 3,822,461;$ 3,000,000;$ 3,217,517;2010;OKC
Oklahoma City Thunder;$ 66,171,801;$ 2,450,807;$ 1,318,920;$ 2,380,692;2009;OKC
Oklahoma City Thunder;$ 61,567,564;$ 3,240,398;$ 3,284,640;$ 2,164,000;2008;OKC
Orlando Magic;$ 89,037,684;$ 6,359,834;$ 3,750,000;$ 5,896,074;2010;ORL
Orlando Magic;$ 82,329,491;$ 5,880,677;$ 3,419,704;$ 5,973,445;2009;ORL
Orlando Magic;$ 69,117,198;$ 4,936,942;$ 2,819,860;$ 4,962,877;2008;ORL
Orlando Magic;$ 61,841,463;$ 4,122,764;$ 3,596,000;$ 3,602,477;2007;ORL
Orlando Magic;$ 60,527,557;$ 4,035,170;$ 3,348,000;$ 3,989,530;2006;ORL
Orlando Magic;$ 105,847,784;$ 3,528,259;$ 3,100,000;$ 3,711,634;2005;ORL
Orlando Magic;$ 67,390,203;$ 4,813,585;$ 3,558,360;$ 4,359,163;2004;ORL
